N,Tiempo_ABB,Tiempo_Splay
100000,1505389900,6594992800
200000,5549940900,11172979500
300000,9026416200,18398532900
400000,9849951700,26591863600
500000,51018683300,35716317500
600000,75438547000,47449770000
700000,154239127200,58915944000
800000,423616903000,68907124700
900000,393879127000,78692472000
1000000,501153592000,111204885600
